Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010
"06037207103","Census Tract 2071.03, Los Angeles County, California","ACSSF","ca","140","00","0004793",,,,,"06","037",,,"207103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037207103","Census Tract 2071.03",,,,2055,1869,164,61,5,1610,0,0,29,186
"06037207303","Census Tract 2073.03, Los Angeles County, California","ACSSF","ca","140","00","0004794",,,,,"06","037",,,"207303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037207303","Census Tract 2073.03",,,,2242,1752,830,392,11,404,0,0,115,490
"06037207304","Census Tract 2073.04, Los Angeles County, California","ACSSF","ca","140","00","0004795",,,,,"06","037",,,"207304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037207304","Census Tract 2073.04",,,,2101,1331,394,443,0,198,0,67,229,770
"06037207305","Census Tract 2073.05, Los Angeles County, California","ACSSF","ca","140","00","0004796",,,,,"06","037",,,"207305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037207305","Census Tract 2073.05",,,,717,565,498,16,0,0,0,0,51,152
"06037207306","Census Tract 2073.06, Los Angeles County, California","ACSSF","ca","140","00","0004797",,,,,"06","037",,,"207306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037207306","Census Tract 2073.06",,,,1978,1580,779,415,0,272,0,35,79,398
"06037207307","Census Tract 2073.07, Los Angeles County, California","ACSSF","ca","140","00","0004798",,,,,"06","037",,,"207307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037207307","Census Tract 2073.07",,,,1461,1107,327,528,0,121,64,17,50,354
"06037207308","Census Tract 2073.08, Los Angeles County, California","ACSSF","ca","140","00","0004799",,,,,"06","037",,,"207308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037207308","Census Tract 2073.08",,,,1288,1113,655,151,0,267,0,12,28,175
"06037207400","Census Tract 2074, Los Angeles County, California","ACSSF","ca","140","00","0004800",,,,,"06","037",,,"207400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037207400","Census Tract 2074",,,,2122,1260,417,313,10,496,0,0,24,862
"06037207501","Census Tract 2075.01, Los Angeles County, California","ACSSF","ca","140","00","0004801",,,,,"06","037",,,"207501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037207501","Census Tract 2075.01",,,,2022,1504,686,189,0,563,0,0,66,518
"06037207502","Census Tract 2075.02, Los Angeles County, California","ACSSF","ca","140","00","0004802",,,,,"06","037",,,"207502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037207502","Census Tract 2075.02",,,,3317,3072,864,209,0,1851,0,0,148,245
"06037207711","Census Tract 2077.11, Los Angeles County, California","ACSSF","ca","140","00","0004803",,,,,"06","037",,,"207711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037207711","Census Tract 2077.11",,,,1881,1691,955,150,0,567,0,19,0,190
"06037207712","Census Tract 2077.12, Los Angeles County, California","ACSSF","ca","140","00","0004804",,,,,"06","037",,,"207712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037207712","Census Tract 2077.12",,,,3947,3118,906,509,0,1558,0,0,145,829
"06037207901","Census Tract 2079.01, Los Angeles County, California","ACSSF","ca","140","00","0004805",,,,,"06","037",,,"207901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037207901","Census Tract 2079.01",,,,2991,2233,613,375,83,1046,0,38,78,758
"06037207902","Census Tract 2079.02, Los Angeles County, California","ACSSF","ca","140","00","0004806",,,,,"06","037",,,"207902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037207902","Census Tract 2079.02",,,,6236,4747,1638,518,0,2198,0,0,393,1489
